,Delivery_person_Age,Delivery_person_Ratings,Type_of_vehicle,Time_taken(min),distance,speed,capabilty,traffic_fact
0,37,4.9,2,24,3.0207366434610647,1,4.9,15.1
1,34,4.5,3,33,20.143736910348597,2,9.0,11.0
2,23,4.4,2,26,1.549692932239404,1,4.4,15.6
3,38,4.7,2,21,7.774496620087613,1,4.7,15.3
4,32,4.6,3,30,6.197897916874956,2,9.2,10.8
5,22,4.8,2,26,4.602205335871525,1,4.8,15.2
6,33,4.7,3,40,16.576886807242534,2,9.4,10.6
7,35,4.6,2,32,20.164987511903337,1,4.6,15.4
8,22,4.8,2,34,19.94021940160752,1,4.8,15.2
9,36,4.2,2,46,10.27146402322994,1,4.2,15.8
10,21,4.7,2,23,6.229376076976667,1,4.7,15.3
11,23,4.7,3,21,13.764305929575334,2,9.4,10.6
12,34,4.3,2,20,2.9277947281095997,1,4.3,15.7
13,24,4.7,3,41,19.37348408863585,2,9.4,10.6
14,29,4.5,1,20,13.740932234405253,3,13.5,6.5
15,35,4.0,3,33,6.205589948340002,2,8.0,12.0
16,33,4.2,2,40,16.821191645783845,1,4.2,15.8
17,34,4.9,2,41,10.738078032534037,1,4.9,15.1
18,21,4.7,2,15,4.533895591762387,1,4.7,15.3
19,25,4.1,2,36,12.23513612361146,1,4.1,15.9
20,31,4.7,1,26,19.590994221235338,3,14.100000000000001,5.899999999999999
21,37,5.0,2,20,1.554950180979803,1,5.0,15.0
22,33,4.3,3,39,20.140905255245308,2,8.6,11.4
23,25,4.0,2,34,6.106736943461254,1,4.0,16.0
24,29,4.5,1,15,17.04198395713032,3,13.5,6.5
25,27,5.0,2,18,4.4650683810240395,1,5.0,15.0
26,35,4.3,3,38,13.66073757837138,2,8.6,11.4
27,32,4.0,2,47,13.94563444308926,1,4.0,16.0
28,23,4.8,1,12,16.82479191121949,3,14.399999999999999,5.600000000000001
29,31,4.8,2,26,4.664630782215899,1,4.8,15.2
30,36,4.1,2,22,7.589769422472331,1,4.1,15.9
31,26,4.3,2,21,7.705941974795929,1,4.3,15.7
32,38,4.9,3,25,6.164143763345328,2,9.8,10.2
33,32,3.5,3,35,17.259376716936664,2,7.0,13.0
34,32,4.6,3,30,19.8806889061088,2,9.2,10.8
35,33,4.9,2,22,10.706184356730288,1,4.9,15.1
36,20,4.7,3,10,6.117369061558013,2,9.4,10.6
37,20,4.8,3,19,1.51798712661804,2,9.6,10.4
38,35,5.0,3,11,3.06801652533814,2,10.0,10.0
39,26,4.9,3,11,3.0990100939446292,2,9.8,10.2
40,22,4.8,2,28,10.846013590626095,1,4.8,15.2
41,35,4.3,2,33,10.844094035055107,1,4.3,15.7
42,29,4.6,3,33,12.216194933465744,2,9.2,10.8
43,37,4.7,2,52,13.661199383826538,1,4.7,15.3
44,28,4.6,3,22,16.79799879130621,2,9.2,10.8
45,37,4.9,3,16,3.0227804656534882,2,9.8,10.2
46,23,4.9,1,11,9.1598473686937,3,14.700000000000001,5.299999999999999
47,27,4.9,3,25,9.296712100181105,2,9.8,10.2
48,37,4.8,2,26,6.196805343667927,1,4.8,15.2
49,33,5.0,3,18,1.5179748068733323,2,10.0,10.0
50,31,4.9,2,16,6.028674005255561,1,4.9,15.1
51,31,4.8,3,23,17.044988256333504,2,9.6,10.4
52,25,5.0,2,15,4.707104052532131,1,5.0,15.0
53,28,4.8,2,36,12.43888855192116,1,4.8,15.2
54,31,4.7,2,16,9.107220024938373,1,4.7,15.3
55,24,4.7,2,19,13.994592406584347,1,4.7,15.3
56,39,4.6,2,27,13.377332859549806,1,4.6,15.4
57,39,4.2,3,49,12.552275755914394,2,8.4,11.6
58,32,4.5,3,20,1.4881912567305338,2,9.0,11.0
59,36,4.7,2,30,9.414207472710387,1,4.7,15.3
60,25,4.8,3,18,11.902753837483976,2,9.6,10.4
61,33,4.9,3,22,4.654256824131882,2,9.8,10.2
62,30,4.4,3,34,10.624594799022988,2,8.8,11.2
63,33,5.0,2,24,16.790293751513897,1,5.0,15.0
64,36,4.9,3,17,6.118069582492733,2,9.8,10.2
65,21,4.8,1,14,2.992439854305071,3,14.399999999999999,5.600000000000001
66,39,4.9,2,30,7.335684979628153,1,4.9,15.1
67,23,4.8,3,15,3.1380694073889375,2,9.6,10.4
68,35,4.8,3,16,6.276138627413788,2,9.6,10.4
69,39,4.6,3,36,13.944598794232533,2,9.2,10.8
70,22,4.7,3,18,6.071959804867507,2,9.4,10.6
71,32,4.6,3,17,6.071422120848535,2,9.2,10.8
72,24,4.8,2,15,12.552275755914394,1,4.8,15.2
73,29,4.7,2,17,3.1380694073889375,1,4.7,15.3
74,29,4.6,3,19,6.1983397369141935,2,9.2,10.8
75,26,4.7,2,10,9.204061108012812,1,4.7,15.3
76,20,4.5,2,27,7.845173108613388,1,4.5,15.5
77,35,4.1,2,37,13.942135995521298,1,4.1,15.9
78,39,4.6,3,44,13.945658037651098,2,9.2,10.8
79,34,4.7,1,28,6.049848888721861,3,14.100000000000001,5.899999999999999
80,27,4.7,3,42,17.04433026158702,2,9.4,10.6
81,30,4.8,2,25,17.259376716936664,1,4.8,15.2
82,25,4.4,3,39,17.039320664078645,2,8.8,11.2
83,25,4.7,2,20,16.790293751513897,1,4.7,15.3
84,30,5.0,2,31,2.976038261804114,1,5.0,15.0
85,24,4.6,2,13,9.204543446314432,1,4.6,15.4
86,39,4.8,2,28,7.648215327844156,1,4.8,15.2
87,25,4.8,3,19,6.164026189217134,2,9.6,10.4
88,37,4.6,2,42,12.189899417672075,1,4.6,15.4
89,24,5.0,2,23,1.5496181081271545,1,5.0,15.0
90,25,4.2,2,39,16.872927418719993,1,4.2,15.8
91,32,4.6,2,25,1.507218847377163,1,4.6,15.4
93,38,4.9,3,15,3.020706639820848,2,9.8,10.2
94,36,4.8,1,15,13.391515800864783,3,14.399999999999999,5.600000000000001
95,25,5.0,2,15,16.695945260595646,1,5.0,15.0
96,29,5.0,2,18,7.756832982430433,1,5.0,15.0
97,36,4.7,1,29,13.750484667228939,3,14.100000000000001,5.899999999999999
98,33,4.7,2,20,7.774259486970199,1,4.7,15.3
99,36,4.4,3,39,6.2054267911859675,2,8.8,11.2
100,21,4.8,2,19,16.824024800777703,1,4.8,15.2
101,25,4.8,3,19,4.601882860108752,2,9.6,10.4
102,23,4.8,2,17,19.846613904419858,1,4.8,15.2
103,25,4.6,2,15,1.55490238236473,1,4.6,15.4
104,24,4.3,2,19,3.020916215301368,1,4.3,15.7
105,27,4.6,2,29,13.94442758388673,1,4.6,15.4
106,23,4.8,3,22,16.80256330471995,2,9.6,10.4
107,21,4.3,3,42,20.16747676677057,2,8.6,11.4
108,27,4.7,3,12,3.035902790349682,2,9.4,10.6
109,32,4.2,2,38,20.212460530271784,1,4.2,15.8
110,25,4.6,2,23,16.6952795873628,1,4.6,15.4
111,39,4.7,3,15,2.980982302644137,2,9.4,10.6
112,27,4.6,2,24,12.142518774381282,1,4.6,15.4
113,39,3.8,2,37,16.79399979607481,1,3.8,16.2
114,31,4.8,3,24,7.747259356563763,2,9.6,10.4
115,31,4.8,1,13,9.043027721349308,3,14.399999999999999,5.600000000000001
116,20,4.8,2,16,1.5514770796415485,1,4.8,15.2
117,36,4.9,2,42,12.056953151950662,1,4.9,15.1
118,20,4.9,2,17,13.561204009757525,1,4.9,15.1
119,24,4.6,2,25,4.464417671579878,1,4.6,15.4
120,29,4.6,1,25,16.635116893700506,3,13.799999999999999,6.200000000000001
121,39,4.2,3,39,16.610672955997153,2,8.4,11.6
122,37,4.8,3,18,6.219419664894865,2,9.6,10.4
123,32,4.9,2,28,6.196805343667927,1,4.9,15.1
124,22,4.5,3,18,7.4519201744257,2,9.0,11.0
125,23,4.9,3,18,20.212460530271784,2,9.8,10.2
126,33,4.7,3,49,16.577488524535227,2,9.4,10.6
127,23,4.6,2,15,4.53364788897892,1,4.6,15.4
128,27,4.6,2,21,12.396712257294284,1,4.6,15.4
129,34,4.7,3,23,6.108440050157439,2,9.4,10.6
130,26,5.0,3,11,1.5180601842214017,2,10.0,10.0
131,31,4.6,2,25,9.0744717731442,1,4.6,15.4
